gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_no,D1_B7_no,D2_B7C2_no,D2_B7_no,D3_B7C2_no,D3_B7_no
ENSG00000139318,DUSP6,1848,dual specificity phosphatase 6,1329.4267492157269,0.7234485885048085,0.18007963665856577,4.017381431507884,5.884842841524682e-5,0.01733014450452903,2179,1252,1387,1066,1339,826
ENSG00000102970,CCL17,6361,C-C motif chemokine ligand 17,91.51708324122,1.7519084017915842,0.4373199800272151,4.0060104312694795,6.175292300062195e-5,0.01775249505498832,173,63,131,51,112,19
ENSG00000100342,APOL1,8542,apolipoprotein L1,1905.6481006749186,0.5366792903169628,0.13481255191134087,3.980929688727416,6.864625404774749e-5,0.018837156167556893,2715,1718,1761,1580,2160,1541
ENSG00000172794,RAB37,326624,"RAB37, member RAS oncogene family",403.17128892751526,-1.2041506517982739,0.30237825560306125,-3.9822660177621687,6.826131465274941e-5,0.018837156167556893,226,701,322,596,158,465
ENSG00000071909,MYO3B,140469,myosin IIIB,454.5086456666922,1.0684155551840184,0.26999337496060044,3.9571917471676112,7.583605488183955e-5,0.020347656147629574,751,283,475,231,586,390
ENSG00000184545,DUSP8,1850,dual specificity phosphatase 8,89.15470180102686,-1.2371239211475793,0.3131131462088871,-3.9510443305445158,7.7810908287105e-5,0.020423671883880556,64,124,48,115,44,148
ENSG00000135074,ADAM19,8728,ADAM metallopeptidase domain 19,18473.696020390908,0.7183227116102144,0.18453773193473091,3.8925519679860257,9.91952420664948e-5,0.02548262452576294,26403,14108,16470,13594,24499,15524
ENSG00000137274,BPHL,670,biphenyl hydrolase like,140.71937132774534,-0.9672678794418906,0.2501054572812474,-3.8674401188862633,1.0998382382603725e-4,0.026865348011394948,121,229,85,169,75,184
ENSG00000167670,CHAF1A,10036,chromatin assembly factor 1 subunit A,110.92587712977983,1.5117097029069109,0.3907707713876384,3.8685332005226125,1.0949202959612668e-4,0.026865348011394948,114,56,145,58,209,64
ENSG00000179456,ZBTB18,10472,zinc finger and BTB domain containing 18,497.42985447445034,-0.5911316591025438,0.15295902521807472,-3.8646406007083494,1.1125289055571869e-4,0.026865348011394948,404,734,386,584,365,551
ENSG00000108561,C1QBP,708,complement C1q binding protein,5893.786541750273,0.5855891830658695,0.15203883082358188,3.8515764682862983,1.1735987082974982e-4,0.02778437412545881,8911,5836,5400,4429,6570,4474
ENSG00000135052,GOLM1,51280,golgi membrane protein 1,201.48219018467128,0.7928102550246637,0.20664673096607925,3.8365487386045434,1.2477544233927072e-4,0.028425258317063294,276,171,262,153,208,136
ENSG00000161011,SQSTM1,8878,sequestosome 1,10292.953294463397,-0.36188037203996043,0.09432139919101658,-3.836673068293784,1.2471231782805605e-4,0.028425258317063294,9936,14046,7941,11309,8460,10823
ENSG00000135164,DMTF1,9988,cyclin D binding myb like transcription factor 1,471.6114418314798,-0.6518347474173255,0.1705808693035638,-3.8212652455025755,1.327687596952158e-4,0.02968611119555621,392,554,341,623,337,606
ENSG00000091137,SLC26A4,5172,solute carrier family 26 member 4,71.18819265376301,2.223895922237605,0.5828465028635167,3.8155773626703353,1.3586487964352282e-4,0.02982604648756172,190,46,56,13,108,21
ENSG00000113580,NR3C1,2908,nuclear receptor subfamily 3 group C member 1,9015.315492079886,-0.433362705297769,0.11419597598479697,-3.7949034680124196,1.4770091162137652e-4,0.03184537155208036,8626,10692,6437,10846,7393,10596
ENSG00000103257,SLC7A5,8140,solute carrier family 7 member 5,14262.293040770464,0.6364896477871557,0.1683348808566615,3.781091860154234,1.5614204225719428e-4,0.032504465831264893,20511,13244,12285,10875,18198,10729
ENSG00000196693,ZNF33B,7582,zinc finger protein 33B,1122.9022205405079,-0.5087382547482715,0.13445559886535915,-3.7836896272182066,1.545204961951681e-4,0.032504465831264893,1023,1479,939,1374,748,1255
ENSG00000266885,NA,NA,NA,50.26655386247834,1.5955226020163857,0.427146308238917,3.7353070159837536,1.8748631177469935e-4,0.038367961497757966,74,22,59,24,86,31
ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,4211.0606062337565,0.6617889283331971,0.17737334054694306,3.7310507108482303,1.9068283243013317e-4,0.03837174197935713,6016,4201,3753,3016,5376,3003
ENSG00000127561,SYNGR3,9143,synaptogyrin 3,763.5406157688692,-0.4445906800945952,0.11939442821973369,-3.723713800750985,1.963134627368048e-4,0.0388571926079374,761,1002,559,904,579,838
ENSG00000164713,BRI3,25798,brain protein I3,1181.4936158098076,-0.39490103330868276,0.1063227194420442,-3.7141735593392213,2.038688460146571e-4,0.03970181365775758,1166,1505,944,1337,881,1336
ENSG00000109920,FNBP4,23360,formin binding protein 4,499.7251129154637,-0.6394857957031748,0.17346392403540378,-3.6865636428970467,2.2730261596076454e-4,0.04356272674778208,448,643,373,566,324,678
ENSG00000089692,LAG3,3902,lymphocyte activating 3,10644.11146656282,0.3410441937585067,0.09263928529975449,3.681420821144985,2.3193782040003527e-4,0.043756519429844154,12913,9966,10579,9963,11248,9251
ENSG00000163584,RPL22L1,200916,ribosomal protein L22 like 1,1042.1365921705915,0.541167844972644,0.1476486551888876,3.665240596199983,2.4710616658871784e-4,0.04502854060671842,1307,828,1109,955,1185,847
ENSG00000187210,GCNT1,2650,glucosaminyl (N-acetyl) transferase 1,1383.1064470113938,0.6447380154636226,0.1760427458770228,3.662394677222393,2.498684959955387e-4,0.04502854060671842,1973,1096,1243,1107,1736,1141
ENSG00000232112,TMA7,51372,translation machinery associated 7 homolog,3166.775974934773,-0.44258615094336556,0.12071170968950898,-3.6664723917983792,2.4591945544473676e-4,0.04502854060671842,2654,4109,2705,3693,2435,3559
ENSG00000217128,FNIP1,96459,folliculin interacting protein 1,575.348510753347,-0.8383422642695664,0.23043131821588778,-3.638143767784792,2.7461012782370025e-4,0.0487594512256376,464,792,443,625,301,869
ENSG00000095203,EPB41L4B,54566,erythrocyte membrane protein band 4.1 like 4B,79.92910082888969,-1.1865682816031233,0.32711725352078286,-3.6273485083162593,2.8634667892379716e-4,0.049796120971346225,69,129,36,115,40,103
ENSG00000136810,TXN,7295,thioredoxin,4061.871062885108,0.42542457193991656,0.11735084487145604,3.6252365494762206,2.8869707371163123e-4,0.049796120971346225,5444,3813,3864,3332,4360,3630
ENSG00000177119,ANO6,196527,anoctamin 6,866.6598963300574,-0.41793935934639087,0.11550336675670428,-3.6184171170242707,2.9641039484641613e-4,0.05040646630106519,794,1118,678,967,693,1000
ENSG00000134419,RPS15A,6210,ribosomal protein S15a,24077.5724745181,-0.3042151023151679,0.08425180935238229,-3.6107842033729094,3.05272584641048e-4,0.051192516485500196,24161,28924,20135,27162,18770,26626
ENSG00000116120,FARSB,10056,phenylalanyl-tRNA synthetase subunit beta,2128.458790626864,0.5934028325529356,0.1648633532021237,3.599361659382357,3.189992822752165e-4,0.05276160731768443,3125,2133,1968,1494,2446,1678
ENSG00000136731,UGGT1,56886,UDP-glucose glycoprotein glucosyltransferase 1,708.3686698509243,0.6924598615635733,0.1934435100824412,3.5796489697093623,3.440560688861343e-4,0.05612180811335027,1131,604,724,468,733,610
ENSG00000197013,ZNF429,353088,zinc finger protein 429,147.4263026233081,-0.8745099896239609,0.24453540717234454,-3.5762100864502644,3.4861152960918255e-4,0.05612180811335027,106,241,102,201,95,156
ENSG00000225830,ERCC6,2074,"ERCC excision repair 6, chromatin remodeling factor",1084.5148212738507,-0.37210995162046917,0.10431511739425575,-3.567171862675389,3.608548241725057e-4,0.057328436145510975,1007,1406,872,1243,879,1165
ENSG00000239672,NME1,4830,NME/NM23 nucleoside diphosphate kinase 1,2847.464301324642,0.752322538179226,0.2112246165322604,3.561718092002423,3.6843587385510266e-4,0.05777265897307156,4723,2916,2641,1729,3225,2017
ENSG00000127824,TUBA4A,7277,tubulin alpha 4a,10153.977012207184,0.35639373251936596,0.10027544803976625,3.554147495586665,3.792064796395363e-4,0.05869921839958668,12252,10148,11273,9233,9749,8381
ENSG00000105643,ARRDC2,27106,arrestin domain containing 2,1507.3501953944885,-0.6376251230333072,0.18063232473253865,-3.529961339851189,4.1562039414799723e-4,0.06352152707522682,1170,1963,1323,2033,932,1712
ENSG00000163191,S100A11,6282,S100 calcium binding protein A11,8449.717019510404,0.35083274210849613,0.09949793401961758,3.526030420283138,4.2183851170011436e-4,0.06366597737833976,11273,8315,7996,7377,8571,7423
ENSG00000090238,YPEL3,83719,yippee like 3,1925.70583743705,-0.8629130630471787,0.24508903826969278,-3.520814595133547,4.3022331623097243e-4,0.06412983111324395,1111,2174,1576,2869,1236,2621
ENSG00000117411,B4GALT2,8704,"beta-1,4-galactosyltransferase 2",908.2581059296659,0.4169824104518961,0.11860151653479142,3.515826969460171,4.3838658878107774e-4,0.06454975210905772,1206,890,872,792,969,743
ENSG00000132361,CLUH,23277,clustered mitochondria homolog,2915.373496759912,0.6908834292227627,0.197192985963096,3.503590281614069,4.59031025192954e-4,0.06633302774049053,4690,2805,2448,2070,3518,2104
ENSG00000136732,GYPC,2995,glycophorin C (Gerbich blood group),9560.319917315739,-0.3616105414994298,0.10333771665925796,-3.49930841506583,4.6646668844555915e-4,0.06633302774049053,8529,12197,8260,10747,7549,10543
ENSG00000173085,COQ2,27235,"coenzyme Q2, polyprenyltransferase",554.5205958703082,0.4894259994699712,0.1398753403867734,3.4990156100184993,4.6697924117456476e-4,0.06633302774049053,751,531,535,477,614,431
ENSG00000128342,LIF,3976,LIF interleukin 6 family cytokine,5527.088875111907,1.220024454018924,0.35049134015758976,3.480897569310472,4.997365628432462e-4,0.07016068906708552,10527,4352,3478,2346,8968,3678
ENSG00000120008,WDR11,55717,WD repeat domain 11,299.8163843842231,-0.7496704442997859,0.21562968723505127,-3.4766569200770268,5.077070296728498e-4,0.07034691237662109,248,401,174,446,232,324
ENSG00000170515,PA2G4,5036,proliferation-associated 2G4,6365.614156418134,0.4645311141519531,0.1337155831115603,3.474023770022302,5.127156111597363e-4,0.07034691237662109,8302,6472,6048,4797,7259,5423
ENSG00000070785,EIF2B3,8891,eukaryotic translation initiation factor 2B subunit gamma,763.1629668054954,0.5311845756106794,0.1535396330695398,3.459592582001939,5.409932620944241e-4,0.073392726365484,1038,739,704,609,903,600
ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,2550.7504747709604,0.8096336155904441,0.23428929989004435,3.455700349825698,5.488651200654268e-4,0.07363330510744405,4535,2347,2008,1750,3126,1706
ENSG00000116663,FBXO6,26270,F-box protein 6,688.6305636170043,0.8559289961610563,0.24824276205271859,3.4479514692931317,5.648555204298792e-4,0.07494577531505892,1059,583,546,459,1003,487
ENSG00000168243,GNG4,2786,G protein subunit gamma 4,132.73324020199834,-0.9427617984041221,0.27388506721996464,-3.442180356795298,5.770453785630223e-4,0.07573093370402098,103,200,68,151,95,192
ENSG00000103550,KNOP1,400506,lysine rich nucleolar protein 1,799.0415352037053,0.4399546148039644,0.12823580977249688,3.4308249433952014,6.017487900687142e-4,0.07729271160946442,1061,813,824,709,813,598
ENSG00000110841,PPFIBP1,8496,PPFIA binding protein 1,496.6394697784533,1.0256966546037187,0.29893514159880524,3.4311678751382306,6.009885553497299e-4,0.07729271160946442,517,402,585,246,806,371
ENSG00000177103,DSCAML1,57453,DS cell adhesion molecule like 1,393.75852566710734,-0.7212381790365566,0.21078202344141442,-3.4217252840682613,6.22251506313895e-4,0.0782610904920205,367,555,297,549,212,426
ENSG00000219200,RNASEK,440400,ribonuclease K,5729.025541318544,-0.30790384335256815,0.089942745250325,-3.423331614969308,6.185856307002772e-4,0.0782610904920205,5419,7112,4865,6279,4643,6334
ENSG00000100418,DESI1,27351,desumoylating isopeptidase 1,3008.747340345294,0.45535217895101765,0.13383528759024807,3.402332726665706,6.681324132457518e-4,0.0823166403829511,4328,2961,2749,2461,3184,2491
ENSG00000123975,CKS2,1164,CDC28 protein kinase regulatory subunit 2,2781.956792366155,0.31267238523242646,0.09183709883599449,3.4046413616659037,6.625100016148266e-4,0.0823166403829511,3398,2894,2831,2589,2782,2263
ENSG00000126778,SIX1,6495,SIX homeobox 1,51.740916266839335,1.5245575760716032,0.4502120233166769,3.3863102207717737,7.083925447054888e-4,0.08266891068035036,82,25,85,39,57,19
ENSG00000137171,KLC4,89953,kinesin light chain 4,153.41750290019445,-0.8425324490582283,0.24863288916345072,-3.3886604941647493,7.023491283576576e-4,0.08266891068035036,121,185,97,236,103,189
ENSG00000172216,CEBPB,1051,CCAAT enhancer binding protein beta,841.8015897823526,0.7868544729901048,0.232226872238979,3.388300696658275,7.032711834744001e-4,0.08266891068035036,1409,716,670,586,1079,623
ENSG00000173457,PPP1R14B,26472,protein phosphatase 1 regulatory inhibitor subunit 14B,4222.59211986105,0.3737088149237481,0.11040507228064261,3.3848880962081545,7.120727771042271e-4,0.08266891068035036,5573,4000,3901,3815,4517,3625
ENSG00000187678,SPRY4,81848,sprouty RTK signaling antagonist 4,58.34239148570785,1.8743427712740275,0.5520694657978369,3.3951212436016083,6.859821516996261e-4,0.08266891068035036,85,25,51,16,129,36
ENSG00000187790,FANCM,57697,FA complementation group M,522.7860392814492,0.6834454873474948,0.20135385433489417,3.394250830732944,6.881663088156379e-4,0.08266891068035036,788,543,499,375,611,343
ENSG00000134001,EIF2S1,1965,eukaryotic translation initiation factor 2 subunit alpha,2355.3851006814666,0.5243811373212197,0.1551872652108292,3.379021703931848,7.274426495918238e-4,0.08285983538841209,3256,2179,2069,1880,2833,1954
ENSG00000156587,UBE2L6,9246,ubiquitin conjugating enzyme E2 L6,8923.476912656588,0.6634252379176322,0.196249395301823,3.380521182739509,7.23484981506881e-4,0.08285983538841209,14092,9106,7580,6247,10678,6313
ENSG00000120833,SOCS2,8835,suppressor of cytokine signaling 2,339.02070024129534,1.0804461612615204,0.3209954880542556,3.3659232028797246,7.628794435820724e-4,0.08608417197953216,428,155,373,242,530,269
ENSG00000069849,ATP1B3,483,ATPase Na+/K+ transporting subunit beta 3,3345.57060776729,0.47502210713375564,0.1422815150934329,3.33860731537628,8.419949974678265e-4,0.0929321429121482,4187,3608,3262,2687,3909,2482
ENSG00000070814,TCOF1,6949,treacle ribosome biogenesis factor 1,4818.745680357145,0.5650215246786385,0.16937811038703088,3.335859181493748,8.503622563038918e-4,0.0929321429121482,6727,4825,4258,3454,5896,3866
ENSG00000084676,NCOA1,8648,nuclear receptor coactivator 1,5983.305860684726,-0.29463596287728333,0.08839364117187434,-3.333225772478219,8.584525035726306e-4,0.0929321429121482,6247,7415,4630,6873,4892,6250
ENSG00000100320,RBFOX2,23543,RNA binding fox-1 homolog 2,515.7491028712764,0.6551228640929075,0.196339169728401,3.3366895917872585,8.47825806330493e-4,0.0929321429121482,823,472,471,366,573,411
ENSG00000104522,GFUS,7264,GDP-L-fucose synthase,1009.8439239031525,0.5018255691538415,0.15060511445735691,3.3320619353596443,8.620506879377669e-4,0.0929321429121482,1487,990,946,791,1060,827
ENSG00000124496,TRERF1,55809,transcriptional regulating factor 1,2553.259638778858,-0.6176704804214641,0.18562781377157322,-3.327467300679125,8.763927388093085e-4,0.0936421763573769,2203,3684,2252,2995,1432,2971
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),3331.2356455986733,0.5673472955412978,0.17152030901894066,3.3077557916400835,9.404678118169601e-4,0.09802817365060403,4685,3075,2858,2517,4140,2765
ENSG00000103855,CD276,80381,CD276 molecule,132.94968231390948,1.374575736282429,0.41626332103263797,3.3021783732289314,9.593704046340733e-4,0.09802817365060403,202,69,148,45,209,113
ENSG00000113593,PPWD1,23398,peptidylprolyl isomerase domain and WD repeat containing 1,50.82230140045612,1.7005384221036444,0.5152832301494329,3.3002013700513517,9.661547676347423e-4,0.09802817365060403,56,35,100,15,66,25
ENSG00000120915,EPHX2,2053,epoxide hydrolase 2,566.9752756020639,-0.5648713702971186,0.17109274192600749,-3.3015507492504192,9.615193887930892e-4,0.09802817365060403,584,835,402,661,365,621
ENSG00000145220,LYAR,55646,Ly1 antibody reactive,1647.805517825902,0.7073900490963452,0.21432242490322534,3.300588118185759,9.648241015384039e-4,0.09802817365060403,2595,1621,1385,1073,2057,1225
ENSG00000182393,IFNL1,282618,interferon lambda 1,54.74005861356438,2.3155411458618556,0.7005870279560403,3.305144191175559,9.492754931050733e-4,0.09802817365060403,169,28,22,17,88,13
ENSG00000198586,TLK1,9874,tousled like kinase 1,3717.712102907997,-0.28188249421877576,0.08550640092058698,-3.296624477044364,9.785424154765386e-4,0.09845767603719771,3627,4592,3186,4178,2984,3936
ENSG00000185339,TCN2,6948,transcobalamin 2,415.7637692190365,1.397267465260063,0.42452394336699173,3.29137493206633,9.969893759353326e-4,0.09948470847143145,1030,232,301,153,497,320
ENSG00000138286,FAM149B1,317662,family with sequence similarity 149 member B1,256.35113197018745,-0.7563816923069827,0.230994948584676,-3.2744512247622386,0.0010586741361864058,0.1033711144399058,203,341,205,294,148,363
ENSG00000141873,SLC39A3,29985,solute carrier family 39 member 3,755.0621035313366,0.6306462995642766,0.19268425082871085,3.2729519763651975,0.0010643055901717441,0.1033711144399058,1153,777,686,571,869,512
ENSG00000155966,AFF2,2334,ALF transcription elongation factor 2,277.62400097038136,-0.8925245572439415,0.2728268952809337,-3.2713950592183973,0.00107018298037007,0.1033711144399058,160,421,235,399,164,307
ENSG00000170854,RIOX2,84864,ribosomal oxygenase 2,2350.7643616129403,0.47399219224407907,0.14484232737445954,3.2724701462347494,0.0010661213091515281,0.1033711144399058,3095,2446,2157,1857,2754,1852
ENSG00000083720,OXCT1,5019,3-oxoacid CoA-transferase 1,384.43959667973695,0.7438370265464499,0.22776211096050994,3.265850599160536,0.0010913581229066301,0.1041982908671604,435,278,421,323,534,289
ENSG00000092871,RFFL,117584,ring finger and FYVE like domain containing E3 ubiquitin protein ligase,5162.411906770238,-0.30688600596652615,0.09414773526835438,-3.259621753957144,0.00111560885473036,0.1041982908671604,5188,6145,4307,6132,4015,5479
ENSG00000101391,CDK5RAP1,51654,CDK5 regulatory subunit associated protein 1,1077.675190248306,0.44876307975180674,0.13779576720626527,3.2567261596653925,0.0011270510617800125,0.1041982908671604,1507,1120,1024,883,1130,847
ENSG00000119801,YPEL5,51646,yippee like 5,2133.360172646126,-0.36243978394067566,0.11111762687422813,-3.261766779368985,0.0011072019477970734,0.1041982908671604,1945,2569,1809,2444,1683,2441
ENSG00000167664,TMIGD2,126259,transmembrane and immunoglobulin domain containing 2,395.2198582702963,-0.5522743820491116,0.16962514659310726,-3.255852054612481,0.0011305264289877433,0.1041982908671604,361,510,307,440,270,509
ENSG00000214655,ZSWIM8,23053,zinc finger SWIM-type containing 8,2969.3008435294914,-0.3084695741982859,0.09464397334848813,-3.259262722016874,0.0011170217460728575,0.1041982908671604,3014,3823,2384,3453,2374,2980
ENSG00000213654,GPSM3,63940,G protein signaling modulator 3,7604.09586392166,-0.4041772621057973,0.12424538461762223,-3.253056548938971,0.0011417077392665612,0.10443166093867015,6660,9085,6640,9344,5735,8476
ENSG00000183207,RUVBL2,10856,RuvB like AAA ATPase 2,5117.311932313776,0.29666380917716295,0.09125845666514336,3.250808966293589,0.0011507715339403818,0.10446928947967045,6530,5230,4968,4462,5050,4610
