gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_Il8,D1_B7_Il8,D2_B7C2_Il8,D2_B7_Il8,D3_B7C2_Il8,D3_B7_Il8
ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,4334.05262713221,0.7142395328984527,0.1725482507416137,4.139361192180423,3.4827425053142244e-5,0.005938075971560753,5047,3976,4642,3394,5460,3097
ENSG00000174428,GTF2IRD2B,389524,GTF2I repeat domain containing 2B,343.74057263203116,-0.7561352801192647,0.18287670645915635,-4.134672450961598,3.554612505375443e-5,0.005954287754618373,249,482,267,496,209,402
ENSG00000114738,MAPKAPK3,7867,MAPK activated protein kinase 3,4847.477645311949,0.5284162373649988,0.12875505873366086,4.104042532869065,4.059927724806527e-5,0.0066834810200780545,5353,4130,5251,4282,5544,4242
ENSG00000128342,LIF,3976,LIF interleukin 6 family cytokine,5872.390357672148,1.4362499487288056,0.35030587803375823,4.099988149757502,4.13171294210538e-5,0.0066863720629190115,8984,3821,4403,2486,10274,3724
ENSG00000100376,FAM118A,55007,family with sequence similarity 118 member A,1501.2154806595736,-0.6240878270082688,0.1527290799888345,-4.086240989953542,4.384184085697142e-5,0.006976698275039385,885,1782,1403,2280,1101,1770
ENSG00000167664,TMIGD2,126259,transmembrane and immunoglobulin domain containing 2,403.50840988459333,-0.6762199951644693,0.1656510397733798,-4.082195898616618,4.4612166914335475e-5,0.006982901142591395,251,537,367,516,271,529
ENSG00000012822,CALCOCO1,57658,calcium binding and coiled-coil domain 1,974.3629989626784,-0.7863602324871996,0.19334101661848355,-4.067218876990341,4.757755152160447e-5,0.007326942934327088,507,1199,940,1524,618,1226
ENSG00000154803,FLCN,201163,folliculin,863.0299413897188,-0.45311393407955597,0.1120754765097667,-4.042935601884948,5.278612217872825e-5,0.008000030072420592,611,1031,786,1097,678,1054
ENSG00000116649,SRM,6723,spermidine synthase,2633.3591351468817,0.8575338387220249,0.21322877763418166,4.021660904482706,5.7789211212590256e-5,0.008483353575272079,3452,2368,2779,1731,3277,1857
ENSG00000164638,SLC29A4,222962,solute carrier family 29 member 4,291.29503929166776,-1.272830037879527,0.3167650448361297,-4.018214947100597,5.864069291662728e-5,0.008483353575272079,110,293,233,517,151,507
ENSG00000172794,RAB37,326624,"RAB37, member RAS oncogene family",293.51532216955695,-1.838730409199075,0.4574514897124556,-4.019509063911591,5.831953825590947e-5,0.008483353575272079,55,367,218,775,106,344
ENSG00000182718,ANXA2,302,annexin A2,5961.550039905789,0.451344619952251,0.1126433387970965,4.006846962919434,6.153470528310275e-5,0.008769154717060672,6357,5193,7603,5756,5638,5136
ENSG00000123975,CKS2,1164,CDC28 protein kinase regulatory subunit 2,2842.7885688961524,0.3597982165017176,0.09011919102436017,3.9924705538519576,6.538845484302799e-5,0.00918130833590046,2730,2626,3498,2884,2877,2448
ENSG00000168386,FILIP1L,11259,filamin A interacting protein 1 like,2451.0275254508856,-0.39722453240466654,0.09980694917757586,-3.9799286089581525,6.89359670853017e-5,0.009539139329426965,1930,2931,2221,3231,1857,2742
ENSG00000005100,DHX33,56919,DEAH-box helicase 33,1697.9453410585143,0.3816340165847197,0.09598438625917881,3.9760010086872306,7.008382791925763e-5,0.009559434128186741,1644,1512,1996,1639,1820,1554
ENSG00000110011,DNAJC4,3338,DnaJ heat shock protein family (Hsp40) member C4,1239.1181796472813,-0.7231039651176799,0.18232055609285894,-3.9661132053008377,7.305417507621261e-5,0.009690168350966217,665,1423,1179,1894,849,1620
ENSG00000161011,SQSTM1,8878,sequestosome 1,10415.168259554324,-0.37204888219133214,0.09383408897111088,-3.9649650385146966,7.340670528663993e-5,0.009690168350966217,8098,12527,8906,13035,8708,11940
ENSG00000172115,CYCS,54205,"cytochrome c, somatic",3736.066787495342,0.7694838131660909,0.19417855358614178,3.96276416192755,7.408695953294238e-5,0.009690168350966217,4520,3540,4107,2577,4619,2672
ENSG00000068654,POLR1A,25885,RNA polymerase I subunit A,846.3768859980197,0.4900072480598179,0.12443676455667027,3.937801258378601,8.2231657902998e-5,0.010610106346727363,889,775,1028,731,890,737
ENSG00000104626,ERI1,90459,exoribonuclease 1,1544.8280132691825,0.436608609895475,0.11132459676631844,3.9219419838722662,8.783814468892453e-5,0.011166174935106136,1631,1447,1791,1414,1613,1326
ENSG00000170296,GABARAP,11337,GABA type A receptor-associated protein,4478.645209607531,-0.37504629901626196,0.09569705316182035,-3.91909976979199,8.888031996942462e-5,0.011166174935106136,3297,5233,4423,5840,3414,5086
ENSG00000140105,WARS1,7453,tryptophanyl-tRNA synthetase 1,21019.67325999053,0.8768843426352753,0.22446888933051645,3.906484971038092,9.36484651039121e-5,0.0116124096728851,28870,15705,20108,14153,26904,17229
ENSG00000104341,LAPTM4B,55353,lysosomal protein transmembrane 4 beta,737.224708437776,0.7461438931399506,0.19136181943332298,3.8991262486398583,9.654043112109536e-5,0.011667949827142006,890,700,889,527,830,526
ENSG00000113356,POLR3G,10622,RNA polymerase III subunit G,458.2451841869931,1.2280546780720345,0.3148243319010028,3.900761642712543,9.589052807139799e-5,0.011667949827142006,730,338,495,203,565,326
ENSG00000075213,SEMA3A,10371,semaphorin 3A,218.41414407392654,1.235407410978381,0.3188138804004978,3.8750113684713083,1.0661972177575023e-4,0.012725063793935789,280,129,219,120,358,164
ENSG00000159023,EPB41,2035,erythrocyte membrane protein band 4.1,5439.199980186657,-0.539939254608532,0.13954197642988603,-3.869367973871495,1.0911785023473095e-4,0.0128624349881631,3577,7235,5448,7264,3699,6094
ENSG00000107833,NPM3,10360,nucleophosmin/nucleoplasmin 3,619.9919452731307,0.5757993090370942,0.14909120632510492,3.8620608366500115,1.124345577816421e-4,0.013091770215842912,651,481,717,560,733,547
ENSG00000126709,IFI6,2537,interferon alpha inducible protein 6,2211.359581330896,1.5789106908371515,0.41055906016122273,3.845757758255604,1.2018045137273448e-4,0.013500460047527273,4425,1760,1718,858,2935,904
ENSG00000160185,UBASH3A,53347,ubiquitin associated and SH3 domain containing A,359.7726773347521,-0.732019156979468,0.19034517686520647,-3.8457457605970737,1.2018633263927714e-4,0.013500460047527273,237,395,295,574,238,469
ENSG00000167460,TPM4,7171,tropomyosin 4,34204.253574833434,0.3264072115880707,0.08477590144973286,3.8502358100150786,1.1800415631970505e-4,0.013500460047527273,31124,32357,42264,34528,35228,30064
ENSG00000116120,FARSB,10056,phenylalanyl-tRNA synthetase subunit beta,2281.7107906332767,0.6869864859976188,0.17930895219033177,3.8313005435913796,1.2746768562563093e-4,0.01373694918722092,2790,2095,2459,1695,2663,1774
ENSG00000126391,FRMD8,83786,FERM domain containing 8,362.6605296501681,-0.8789934833680034,0.22923580021624285,-3.834451174462413,1.258449658377759e-4,0.01373694918722092,219,594,314,438,199,463
ENSG00000132436,FIGNL1,63979,fidgetin like 1,1849.1564313894053,0.39346812067118364,0.10272820796104475,3.8301857735159706,1.280465519127212e-4,0.01373694918722092,1815,1709,2127,1710,2017,1677
ENSG00000170515,PA2G4,5036,proliferation-associated 2G4,6476.362278872771,0.5642356251380689,0.14730264027429224,3.830451539004364,1.2790832346155337e-4,0.01373694918722092,7396,5842,7296,5043,7116,5731
ENSG00000172216,CEBPB,1051,CCAAT enhancer binding protein beta,843.8862957390614,0.7666483628450416,0.20034019013098467,3.8267327306807397,1.298553750120174e-4,0.013776212451274913,1070,618,853,703,1054,672
ENSG00000125744,RTN2,6253,reticulon 2,394.85691537149705,-0.5913923557726394,0.15500469506971865,-3.815318984412959,1.3600712681756106e-4,0.014270286229165638,286,507,349,537,262,472
ENSG00000167779,IGFBP6,3489,insulin like growth factor binding protein 6,440.21238927863925,1.2170739819559344,0.3196426135946253,3.8076086547691745,1.4031709340469624e-4,0.014562473998130866,782,344,481,265,448,235
ENSG00000239264,TXNDC5,81567,thioredoxin domain containing 5,2540.63752802229,0.38202884267623033,0.10043145713388062,3.803876330968344,1.4244931584330036e-4,0.014624796426578837,2503,2252,2990,2367,2675,2412
ENSG00000069849,ATP1B3,483,ATPase Na+/K+ transporting subunit beta 3,3436.1638359716967,0.4921544952300383,0.12952585123133523,3.7996623110474106,1.448933889127213e-4,0.014717327412693463,3638,3300,3806,3061,3909,2750
ENSG00000144381,HSPD1,3329,heat shock protein family D (Hsp60) member 1,20960.217710105848,0.5525255756836099,0.14551476584717002,3.797041300014266,1.4643340010534972e-4,0.014717327412693463,24999,17989,22091,18481,22988,17731
ENSG00000177192,PUS1,80324,pseudouridine synthase 1,912.2655209511407,0.5713732432863454,0.15069375286843428,3.791618646495535,1.4966861593305666e-4,0.014885791093008593,967,864,1040,766,1078,710
ENSG00000059145,UNKL,64718,unk like zinc finger,503.9039735343569,-0.606007854313181,0.16131513610325063,-3.7566707560864123,1.7218879555306785e-4,0.016949057937532905,359,654,433,749,345,545
ENSG00000100342,APOL1,8542,apolipoprotein L1,1937.9595849680545,0.4758955082002563,0.1275452672763185,3.731189077908,1.905781170388276e-4,0.01856775368864006,2068,1638,2101,1889,2198,1652
ENSG00000131979,GCH1,2643,GTP cyclohydrolase 1,2798.349541245899,0.547128077887881,0.14673815288432338,3.728601370082619,1.9254545396146382e-4,0.018569939337616734,3075,2629,3004,2394,3289,2228
ENSG00000132423,COQ3,51805,"coenzyme Q3, methyltransferase",222.78873385888647,0.7169541203596099,0.19437198845542286,3.688567092701404,2.255205604860022e-4,0.02153270311520349,262,189,274,188,248,161
ENSG00000100055,CYTH4,27128,cytohesin 4,730.9255853133103,-0.5198513921421276,0.14114523668307996,-3.6830955429928847,2.304187480920552e-4,0.021782556502801417,512,997,648,867,550,879
ENSG00000100285,NEFH,4744,neurofilament heavy chain,584.678828993214,0.4582947625694586,0.12452535374588458,3.680332950546665,2.329296136872343e-4,0.02180403874005601,593,527,716,533,615,511
ENSG00000137628,DDX60,55601,DExD/H-box helicase 60,5110.003216180669,1.0394950651503574,0.2826624120081431,3.6775143103229833,2.3551786664600081e-4,0.021832277579961316,7173,4932,5154,2789,6859,2908
ENSG00000185339,TCN2,6948,transcobalamin 2,413.2754077435885,1.507473106584928,0.41041006165082544,3.673090032250422,2.3963500447478912e-4,0.02200033675697391,796,227,365,149,522,302
ENSG00000108106,UBE2S,27338,ubiquitin conjugating enzyme E2 S,3909.6817661294517,0.4229655644693013,0.11549087353598698,3.6623289054741206,2.4993267700548956e-4,0.022512803774041645,3925,3797,4372,3574,4388,3285
ENSG00000270800,RPS10-NUDT3,100529239,RPS10-NUDT3 readthrough,769.5829807505909,0.420951566862441,0.11492566168158452,3.6628161256859966,2.494576073033999e-4,0.022512803774041645,774,682,950,731,783,687
ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,2581.6978852200523,0.8727325105934285,0.2388274399588103,3.654238854396067,2.5794605397721023e-4,0.023017466573592556,3677,2037,2326,1960,3280,1820
ENSG00000125630,POLR1B,84172,RNA polymerase I subunit B,1184.9268730333965,0.6415927533581002,0.17609877550552944,3.6433686237526075,2.690930283804776e-4,0.02357156178877798,1294,1145,1368,1031,1421,783
ENSG00000139180,NDUFA9,4704,NADH:ubiquinone oxidoreductase subunit A9,1691.275036774185,0.5060031519027806,0.13885072876748555,3.644223954705454,2.681998135931503e-4,0.02357156178877798,1640,1566,1942,1421,2047,1464
ENSG00000172530,BANP,54971,BTG3 associated nuclear protein,600.1053408555176,-0.6762572865373081,0.18574366863535394,-3.640809355741298,2.7178233245943204e-4,0.0235907064574787,348,653,487,901,482,806
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),3468.256998262783,0.5956901514675139,0.16389696183363792,3.6345405357310017,2.78476472960357e-4,0.023953994268698094,3850,2820,3519,3015,4367,2972
ENSG00000138385,SSB,6741,small RNA binding exonuclease protection factor La,5380.051820405172,0.30383895336559574,0.08393789388284732,3.6198067322211562,2.948231396858824e-4,0.02491125077629031,5199,4930,6082,5397,5593,5041
ENSG00000276141,NA,NA,NA,221.1484114590943,-0.9026544912073481,0.2492943573512418,-3.620838035798614,2.9365030809040693e-4,0.02491125077629031,123,338,139,272,174,306
ENSG00000011422,PLAUR,5329,"plasminogen activator, urokinase receptor",882.3042201915895,0.8694409762313171,0.24063328135618423,3.613136850111663,3.025149363520657e-4,0.02533695273938178,991,524,904,727,1308,740
ENSG00000143476,DTL,51514,denticleless E3 ubiquitin protein ligase homolog,4399.1019475177845,0.3117443570619404,0.08674873876573787,3.5936471411278483,3.260813662683358e-4,0.02707325987069626,4370,4073,4947,4475,4502,3988
ENSG00000152061,RABGAP1L,9910,RAB GTPase activating protein 1 like,2791.560419256375,-0.486516159440256,0.13580519224624613,-3.5824562477559034,3.4037863842939405e-4,0.02801668310106771,1881,3449,2793,3939,1991,3040
ENSG00000154767,XPC,7508,"XPC complex subunit, DNA damage recognition and repair factor",983.9934267299113,-0.8392162788675228,0.23497269224902448,-3.571548126869653,3.548773186420702e-4,0.028960415712773385,803,1469,581,1199,588,1345
ENSG00000011243,AKAP8L,26993,A-kinase anchoring protein 8 like,676.7640678144194,-0.5225101102124121,0.1465875849675369,-3.564490883236302,3.6456312188892526e-4,0.029440344097883278,469,943,608,822,506,779
ENSG00000080503,SMARCA2,6595,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",9727.73307672644,-0.33323463287595373,0.09353176149687613,-3.5627965040205454,3.669251097243517e-4,0.029440344097883278,7574,12088,9382,11806,7554,10717
ENSG00000145912,NHP2,55651,NHP2 ribonucleoprotein,2824.244243375959,0.4223083376059929,0.11866333933970745,3.558877914239507,3.7244259628487104e-4,0.02963401591106624,2850,2517,3132,2539,3175,2633
ENSG00000004478,FKBP4,2288,FKBP prolyl isomerase 4,5783.4225489151695,0.6361090299581584,0.17964433008256694,3.5409357460143283,3.987106627013432e-4,0.02978680957933278,6782,4856,5683,4682,7269,4884
ENSG00000070814,TCOF1,6949,treacle ribosome biogenesis factor 1,4730.711290467389,0.4446293006574906,0.12586632332376502,3.5325517494761005,4.115696655704686e-4,0.02978680957933278,5091,4221,5078,4243,5224,4305
ENSG00000074582,BCS1L,617,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",474.0845402530245,0.5872716169172135,0.16573706155824594,3.5433934413687265,3.9501290765578726e-4,0.02978680957933278,517,370,563,396,532,440
ENSG00000107551,RASSF4,83937,Ras association domain family member 4,281.1126961015408,-1.312518675859901,0.3708173359946773,-3.5395288959164004,4.008418850047649e-4,0.02978680957933278,151,650,201,316,110,308
ENSG00000114796,KLHL24,54800,kelch like family member 24,338.96589478295067,-1.5292312687339584,0.4327371789565931,-3.5338569069133583,4.0954273623731573e-4,0.02978680957933278,146,207,181,846,169,571
ENSG00000138755,CXCL9,4283,C-X-C motif chemokine ligand 9,507.2154828016555,1.3259499075350243,0.3753260582485869,3.532794695157611,4.1119165891890017e-4,0.02978680957933278,580,165,951,516,559,256
ENSG00000145220,LYAR,55646,Ly1 antibody reactive,1772.0580244574837,0.7415857485294554,0.2100424503959999,3.530647005552066,4.145445826179477e-4,0.02978680957933278,2249,1623,1794,1257,2168,1339
ENSG00000153283,CD96,10225,CD96 molecule,4510.102899844159,-0.88939259182185,0.2504986637411283,-3.550488368037648,3.8451712735661366e-4,0.02978680957933278,2168,5438,4526,8388,2494,5023
ENSG00000158050,DUSP2,1844,dual specificity phosphatase 2,1877.6836351037114,0.9294590624933603,0.2617376971400531,3.551108887444732,3.836116741982331e-4,0.02978680957933278,2258,1218,1675,1354,2938,1542
ENSG00000161958,FGF11,2256,fibroblast growth factor 11,2950.698373429073,-0.6895934103417826,0.19532965093929627,-3.5304082458842436,4.149189017648995e-4,0.02978680957933278,1776,3185,2503,3598,2171,4782
ENSG00000185862,EVI2B,2124,ecotropic viral integration site 2B,3309.6307546456233,-0.8843947124972004,0.24948743694368766,-3.5448466797821925,3.92841521171274e-4,0.02978680957933278,1701,3964,3474,5484,1594,4305
ENSG00000204178,MACO1,55219,macoilin 1,4258.473370903356,-0.502405050403723,0.14166126068980248,-3.5465239258589256,3.903492949949658e-4,0.02978680957933278,2680,4663,3759,5740,3613,5531
