gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_bead,D1_B7_bead,D2_B7C2_bead,D2_B7_bead,D3_B7C2_bead,D3_B7_bead
ENSG00000164400,CSF2,1437,colony stimulating factor 2,2501.5779066773557,1.6938300046885861,0.27483443924352735,6.163092257836379,7.13379154436982e-10,7.923798536085544e-7,4617,1264,1936,976,4850,1466
ENSG00000136026,CKAP4,10970,cytoskeleton associated protein 4,1126.047321398094,0.6540455033830889,0.11564560630218179,5.65560183647677,1.553011142942899e-8,1.3359778357166291e-5,1447,937,1048,883,1524,921
ENSG00000175592,FOSL1,8061,"FOS like 1, AP-1 transcription factor subunit",500.4886447856378,0.9881823344017662,0.17674597515476895,5.590975033725417,2.257980492690257e-8,1.793010202003194e-5,694,326,479,362,777,360
ENSG00000187210,GCNT1,2650,glucosaminyl (N-acetyl) transferase 1,1894.3329747283115,0.7664836684928308,0.1391679772020598,5.507615213663436,3.637273571128736e-8,2.6819696481972815e-5,2713,1523,1684,1396,2595,1476
ENSG00000126860,EVI2A,2123,ecotropic viral integration site 2A,1145.4170783910772,-0.903854527618037,0.17076390658557103,-5.293006851919898,1.2032141035672505e-7,8.280519460749818e-5,673,1614,761,1658,861,1398
ENSG00000128342,LIF,3976,LIF interleukin 6 family cytokine,10498.663611189939,1.5861356782364338,0.3064173398575071,5.176390079536728,2.262202301836952e-7,1.4243616518491814e-4,21033,5558,7556,3921,18429,6986
ENSG00000139318,DUSP6,1848,dual specificity phosphatase 6,1976.7171647595046,1.0365800124627265,0.20051360504106333,5.16962433671493,2.3456503033455473e-7,1.4243616518491814e-4,3305,1390,2138,1501,2258,1160
ENSG00000196693,ZNF33B,7582,zinc finger protein 33B,958.3373036061266,-0.5407632454725572,0.10496887796121003,-5.151653099239468,2.5820031429426687e-7,1.4807788024776204e-4,821,1277,642,1119,803,1166
ENSG00000111537,IFNG,3458,interferon gamma,2457.3229645086035,1.9209452101135753,0.37597951802729673,5.109175149200844,3.235682974950169e-7,1.75799765002161e-4,6160,1302,1440,832,4078,1103
ENSG00000165949,IFI27,3429,interferon alpha inducible protein 27,623.567185737018,1.2272941121932854,0.24176558442769105,5.076380557218445,3.846924347386806e-7,1.9855900019037e-4,684,333,787,466,1057,362
ENSG00000108106,UBE2S,27338,ubiquitin conjugating enzyme E2 S,4094.7487779088037,0.41596086279563077,0.08209973172776613,5.066531327713861,4.051301025601025e-7,1.9915038327275895e-4,4710,4054,3835,3488,5054,3468
ENSG00000136830,NIBAN2,64855,niban apoptosis regulator 2,2332.219731558284,0.8184843391779711,0.1629548084961284,5.022768869059899,5.093182349199523e-7,2.3898600632175763e-4,3406,1645,2068,1712,3257,1916
ENSG00000198910,L1CAM,3897,L1 cell adhesion molecule,877.5210918756952,-0.8848923934045068,0.1777047493869795,-4.979565242105697,6.372726773228423e-7,2.860246020871174e-4,534,1083,516,1166,742,1305
ENSG00000131115,ZNF227,7770,zinc finger protein 227,240.5603576605885,-1.1654436653704854,0.23512304085317304,-4.9567395060115285,7.168598498543497e-7,3.083393429186022e-4,168,419,102,347,165,281
ENSG00000170854,RIOX2,84864,ribosomal oxygenase 2,2887.5163724086456,0.5043468862801316,0.10263644269197669,4.913916276246365,8.927488552713949e-7,3.686338573186644e-4,3718,2634,2738,2437,3379,2411
ENSG00000116675,DNAJC6,9829,DnaJ heat shock protein family (Hsp40) member C6,645.4439019380608,1.1289832803860265,0.2316510784067507,4.873637058592368,1.0956219381356084e-6,4.0393233097763876e-4,1027,483,551,324,1038,468
ENSG00000120738,EGR1,1958,early growth response 1,3114.762579002685,1.3857326365668299,0.2840139761851921,4.879100159716292,1.0657093701535602e-6,4.0393233097763876e-4,6082,2183,3666,2010,3271,1223
ENSG00000166016,ABTB2,25841,ankyrin repeat and BTB domain containing 2,483.36382907241955,1.057622014282772,0.21686965062359276,4.8767635823715185,1.0784055596244901e-6,4.0393233097763876e-4,741,300,458,387,715,291
ENSG00000141873,SLC39A3,29985,solute carrier family 39 member 3,881.0735703178646,0.6799778651093039,0.14033368274346786,4.84543590545054,1.2633399274105437e-6,4.497054507123808e-4,1202,792,819,613,1145,723
ENSG00000184371,CSF1,1435,colony stimulating factor 1,853.5572041359345,0.9567342021719766,0.20016190995783625,4.77980152354417,1.7546833085798094e-6,5.843095417570766e-4,1005,548,944,722,1324,538
ENSG00000265972,TXNIP,10628,thioredoxin interacting protein,12617.731925356262,-0.47903000188871425,0.10012759072671286,-4.784195828661987,1.716732510193232e-6,5.843095417570766e-4,11062,17375,9023,14556,10410,14210
ENSG00000167664,TMIGD2,126259,transmembrane and immunoglobulin domain containing 2,354.4481391172094,-0.8425501899030927,0.17783060760337657,-4.737936856079744,2.159050598973222e-6,6.964962291625179e-4,220,483,223,441,292,501
ENSG00000169248,CXCL11,6373,C-X-C motif chemokine ligand 11,896.8386308752131,2.1502688115691333,0.4603691900749791,4.670748733682471,3.001038482656333e-6,9.387794017109493e-4,2113,529,452,209,1868,312
ENSG00000119139,TJP2,9414,tight junction protein 2,3131.491007675779,-0.504676148644929,0.1086789220855379,-4.643735316473913,3.4216586534919703e-6,0.0010388759494116945,2363,3966,2291,3718,2833,3820
ENSG00000160193,WDR4,10785,WD repeat domain 4,387.6975469321848,0.9977971728639361,0.21585812332683177,4.622467561033906,3.792021243599981e-6,0.0010873620916022945,597,342,353,236,567,238
ENSG00000167779,IGFBP6,3489,insulin like growth factor binding protein 6,482.02687560085985,1.4000151944993229,0.3028364013126267,4.623008292368549,3.782145972617026e-6,0.0010873620916022945,1012,360,431,215,613,262
ENSG00000172183,ISG20,3669,interferon stimulated exonuclease gene 20,2983.127798312662,0.8310737979710345,0.18007724548661935,4.615096125694501,3.9291341641642906e-6,0.001096228431801837,4100,2665,2542,1813,4607,2284
ENSG00000113070,HBEGF,1839,heparin binding EGF like growth factor,995.982452287184,1.4242833788102012,0.30942377724969433,4.603018525175761,4.164111734323048e-6,0.0011312138271951796,1980,561,698,453,1651,681
ENSG00000102962,CCL22,6367,C-C motif chemokine ligand 22,1966.7037659981459,0.9277622610773506,0.20185218613215236,4.596245791808991,4.30171222409122e-6,0.0011386301356229142,2252,1619,2012,1548,3271,1084
ENSG00000005100,DHX33,56919,DEAH-box helicase 33,1943.851394898502,0.481574841144054,0.10755008409705122,4.477679819473593,7.545866046675802e-6,0.0018614780954197849,2490,1828,1746,1624,2365,1636
ENSG00000130052,STARD8,9754,StAR related lipid transfer domain containing 8,192.89529106387604,0.9392480192319022,0.21025941638246456,4.46709134549959,7.929027949003875e-6,0.0018614780954197849,234,129,224,137,275,147
ENSG00000138795,LEF1,51176,lymphoid enhancer binding factor 1,6889.822096101645,-0.4870852692666231,0.10903029424289858,-4.467430567338382,7.916469319038124e-6,0.0018614780954197849,6267,9662,4431,7673,6022,7941
ENSG00000145332,KLHL8,57563,kelch like family member 8,296.67659325062345,1.1918639323308085,0.2660989186052558,4.479025839631006,7.498445727200462e-6,0.0018614780954197849,408,269,391,145,386,158
ENSG00000159023,EPB41,2035,erythrocyte membrane protein band 4.1,4660.372143064241,-0.4801071038445833,0.10747982237209108,-4.466951035539217,7.93422805371215e-6,0.0018614780954197849,3762,6527,3428,5343,4058,5186
ENSG00000011590,ZBTB32,27033,zinc finger and BTB domain containing 32,4242.650869339241,1.0522842419262164,0.23797809404772433,4.421769348716569,9.78959291756528e-6,0.0022098695383911764,6517,3289,3114,2364,7409,3030
ENSG00000196465,MYL6B,140465,myosin light chain 6B,2187.4174681831673,-0.5300861515154495,0.11991545971954283,-4.420498847731644,9.847331082630447e-6,0.0022098695383911764,1630,2690,1518,2653,2046,2743
ENSG00000157193,LRP8,7804,LDL receptor related protein 8,1068.1540262216197,0.7336160567488743,0.1678498761625957,4.370667846297501,1.2386709592040832e-5,0.0027205958110348405,1563,1012,964,745,1374,769
ENSG00000156804,FBXO32,114907,F-box protein 32,1911.8234337594947,-0.6125300824907375,0.14057413823446144,-4.357345456168531,1.3164939277950489e-5,0.002731793364635906,1670,2351,1162,2182,1574,2701
ENSG00000178685,PARP10,84875,poly(ADP-ribose) polymerase family member 10,688.1726549762267,0.6070136394936007,0.13932786148071022,4.356728317240705,1.3202097057593145e-5,0.002731793364635906,919,641,640,504,862,569
ENSG00000179388,EGR3,1960,early growth response 3,393.37577976389554,0.7543333152809669,0.17316157156405748,4.356239715703419,1.3231586576750487e-5,0.002731793364635906,473,313,460,272,488,332
ENSG00000116649,SRM,6723,spermidine synthase,3217.6099062059993,0.801205519406925,0.18439001250121198,4.345167661408227,1.3916932556822702e-5,0.0028169508781192305,4978,2916,2691,2065,4353,2407
ENSG00000114738,MAPKAPK3,7867,MAPK activated protein kinase 3,6057.092309686649,0.5279285151371822,0.12236747378660648,4.3142879296325365,1.6011815207796944e-5,0.0031786532382709204,8119,5327,5289,4836,7488,5378
ENSG00000135074,ADAM19,8728,ADAM metallopeptidase domain 19,27410.11917851435,0.8048242266142014,0.18724002220751096,4.298355752822148,1.7206982700885758e-5,0.0033317131418453805,39237,17191,24733,20595,38191,24364
ENSG00000168386,FILIP1L,11259,filamin A interacting protein 1 like,1917.817567645364,-0.46697444313946024,0.10871193306597265,-4.295521475605381,1.7428316347927014e-5,0.0033317131418453805,1585,2548,1338,2343,1751,2087
ENSG00000171497,PPID,5481,peptidylprolyl isomerase D,3910.460672273542,0.4366399762541911,0.10212841662948868,4.275401407996716,1.9079322067242797e-5,0.0035810153036390435,4954,3731,3665,3272,4432,3418
ENSG00000198805,PNP,4860,purine nucleoside phosphorylase,4165.984177215129,0.4892322562801713,0.11485993498550214,4.259381274610013,2.049935462227245e-5,0.0037788363886735446,5382,4006,3596,3370,5243,3505
ENSG00000106351,AGFG2,3268,ArfGAP with FG repeats 2,2187.7187230699556,0.45519758799476734,0.1079822609942405,4.215484875048563,2.492420970797303e-5,0.00451390555816501,2590,2145,1932,1766,2865,1884
ENSG00000168334,XIRP1,165904,xin actin binding repeat containing 1,132.81961375981845,1.5222023480869245,0.3626852324579604,4.19703426514165,2.7043303047288244e-5,0.004813241678571664,290,77,118,77,172,61
ENSG00000262406,MMP12,4321,matrix metallopeptidase 12,256.4703725167229,1.4050668385129117,0.3353653763449469,4.189659808732615,2.7937297249418764e-5,0.00488807999162288,305,106,258,182,535,148
ENSG00000134198,TSPAN2,10100,tetraspanin 2,295.3926333303667,-0.990012416310012,0.23690836977087096,-4.1788832419365995,2.9294402234142022e-5,0.005040101904384135,186,510,187,416,196,310
ENSG00000140406,TLNRD1,59274,talin rod domain containing 1,2689.6200966075417,0.5106904804930645,0.12247645018163462,4.169703479613444,3.049962013123948e-5,0.005161435714996478,3329,2738,2416,2129,3479,2111
ENSG00000184216,IRAK1,3654,interleukin 1 receptor associated kinase 1,6229.6077886260055,0.4008061290399641,0.09622396261113782,4.165346325007522,3.10880274802204e-5,0.0051761565754566965,7412,6256,5456,5138,7813,5468
ENSG00000189180,ZNF33A,7581,zinc finger protein 33A,1925.0113297635182,-0.42801347254021577,0.10300182203630416,-4.155397099571283,3.247230658199979e-5,0.005320819378507679,1579,2461,1461,2134,1701,2329
ENSG00000123213,NLN,57486,neurolysin,508.34226593440275,0.8440198495718959,0.203316612186941,4.1512586723403375,3.30651796687499e-5,0.005333310151882894,725,393,425,330,774,418
ENSG00000073008,PVR,5817,PVR cell adhesion molecule,787.5804436257222,0.6395174405190706,0.15429773546236566,4.1446975135617175,3.402625651814981e-5,0.005403893015951699,1022,630,717,578,1064,720
ENSG00000113916,BCL6,604,BCL6 transcription repressor,1873.5597444358914,-1.0836988883155805,0.2617028839190166,-4.140951265370576,3.4586844697436804e-5,0.005406017580042999,856,2194,1341,2770,1210,2959
ENSG00000239264,TXNDC5,81567,thioredoxin domain containing 5,3031.2888046777284,0.4043898871962666,0.09773402411903671,4.13765718583053,3.508700744578911e-5,0.005406017580042999,3680,2828,2793,2756,3559,2585
ENSG00000143499,SMYD2,56950,SET and MYND domain containing 2,125.68599057738919,-1.448472265196291,0.351232490425031,-4.12397003319219,3.7239736579432126e-5,0.0056533205986687915,46,158,58,221,92,193
ENSG00000074582,BCS1L,617,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",586.3289805823588,0.6618873845998157,0.16088807430459295,4.113961755466921,3.8892589873477435e-5,0.005818669641505907,801,528,577,395,709,504
ENSG00000145220,LYAR,55646,Ly1 antibody reactive,1926.6420940637886,0.7491189720623452,0.18227776134476312,4.109766142263781,3.9606000957599295e-5,0.005840753541218536,2908,1870,1689,1333,2480,1327
ENSG00000124496,TRERF1,55809,transcriptional regulating factor 1,2622.279296340201,-0.9047221668775052,0.22150669672248735,-4.084400969650945,4.419066721965108e-5,0.006312353063423963,1770,4193,1971,3498,1434,3051
ENSG00000131389,SLC6A6,6533,solute carrier family 6 member 6,5891.279003427783,0.3242935130078634,0.07944360206757611,4.082059531137746,4.463835838709186e-5,0.006312353063423963,6358,5903,5477,5206,7176,5298
ENSG00000164399,IL3,3562,interleukin 3,141.6229179607624,1.4156947041108734,0.3466003249491738,4.08451637868047,4.4168711115352504e-5,0.006312353063423963,222,54,156,109,223,76
ENSG00000105281,SLC1A5,6510,solute carrier family 1 member 5,10802.013987045268,0.5194825789177734,0.1280514156268011,4.056828082492872,4.974366935736884e-5,0.006933858262466794,12619,9272,9328,8926,15343,9584
ENSG00000130810,PPAN,56342,peter pan homolog,1571.01744330346,0.4565569316690247,0.11262243132398746,4.053872095476442,5.037676738206041e-5,0.006933858262466794,1881,1447,1422,1239,1993,1467
ENSG00000116852,KIF21B,23046,kinesin family member 21B,9079.036744488232,0.5305822221600359,0.1312955796261548,4.041127840486269,5.319474819815506e-5,0.00713155046298123,11746,7285,8534,7302,10917,8626
ENSG00000204219,TCEA3,6920,transcription elongation factor A3,149.6864255277079,-1.1244222140632323,0.2781445009184843,-4.042582939264244,5.286560370312643e-5,0.00713155046298123,91,233,84,155,97,257
ENSG00000165434,PGM2L1,283209,phosphoglucomutase 2 like 1,1900.0111746154905,-0.4700456678358181,0.11708068113985011,-4.014715863109471,5.9517450875869896e-5,0.00787690571014878,1565,2617,1417,2231,1618,2080
ENSG00000205250,E2F4,1874,E2F transcription factor 4,3651.3940556149896,0.3715831138263425,0.09268793273839344,4.008969699163701,6.0984240282773094e-5,0.007968864714418565,4308,3651,3455,3238,4173,3097
ENSG00000136950,ARPC5L,81873,actin related protein 2/3 complex subunit 5 like,2448.055767783591,0.40345075219564386,0.10105401146209274,3.9924268849731495,6.54005013679717e-5,0.008439117195269649,2991,2435,2165,2016,2968,2167
ENSG00000069956,MAPK6,5597,mitogen-activated protein kinase 6,2089.1709983785995,0.4422042824242363,0.11097893700420546,3.984578464717853,6.76000180919398e-5,0.008510182765403593,2402,1950,1838,1817,2790,1784
ENSG00000166123,GPT2,84706,glutamic--pyruvic transaminase 2,938.8457390808179,0.5354529231019967,0.13437212706399304,3.984851135436696,6.752244249831641e-5,0.008510182765403593,1073,875,870,805,1298,724
ENSG00000100342,APOL1,8542,apolipoprotein L1,2255.827350792315,0.5327327287536684,0.13429585781267173,3.966858974137335,7.282605457593615e-5,0.009057630860089021,2929,2096,1895,1899,2995,1788
ENSG00000139636,LMBR1L,55716,limb development membrane protein 1 like,514.7555619408438,-0.6099375431717917,0.15397100655903934,-3.96137920250534,7.451807898974662e-5,0.009157739635847076,398,663,374,673,402,609
ENSG00000070669,ASNS,440,asparagine synthetase (glutamine-hydrolyzing),4238.548459496546,0.47690346773221454,0.12069335066544365,3.9513648854953805,7.770673989163322e-5,0.009327519487224765,5238,3936,3549,3473,5668,3704
ENSG00000158050,DUSP2,1844,dual specificity phosphatase 2,2672.4954305731058,0.930848899376591,0.2354937157968888,3.9527547315930915,7.725661502003226e-5,0.009327519487224765,3617,1649,2103,1834,4678,2252
ENSG00000055118,KCNH2,3757,potassium voltage-gated channel subfamily H member 2,167.53451448824623,-1.6400367503766695,0.4182678231537777,-3.9210205987413573,8.817472432827372e-5,0.010343496355008747,117,410,47,233,76,163
ENSG00000132361,CLUH,23277,clustered mitochondria homolog,3695.067314685557,0.7390392349513734,0.18837809784025752,3.9231696435223067,8.7391569542895e-5,0.010343496355008747,5620,3165,2928,2462,5072,3069
ENSG00000122299,ZC3H7A,29066,zinc finger CCCH-type containing 7A,3947.7665705472577,-0.42325347973184707,0.10814770659899257,-3.9136611680657665,9.090717551625931e-5,0.010544210930947696,3153,4711,2964,4766,3637,4667
ENSG00000110944,IL23A,51561,interleukin 23 subunit alpha,963.0441101857442,0.7371466321237679,0.18915249151645364,3.897102418339789,9.735045672223124e-5,0.011166097386039924,1340,708,785,739,1422,810
ENSG00000127334,DYRK2,8445,dual specificity tyrosine phosphorylation regulated kinase 2,1406.3766917922794,-0.37957274869252244,0.09758411485980759,-3.8896981259483536,1.0036899685277035e-4,0.011385814884737893,1269,1739,1029,1568,1244,1676
ENSG00000089127,OAS1,4938,2'-5'-oligoadenylate synthetase 1,2074.953226003958,1.022262367149859,0.2633187304744886,3.882224273631381,1.035053480736009e-4,0.011613975088736761,2553,1960,2876,1424,2493,939
ENSG00000135069,PSAT1,29968,phosphoserine aminotransferase 1,5455.580227633316,0.5875223689640912,0.15174590651869985,3.871751024082419,1.0805629707003857e-4,0.011994248974774281,7124,5536,4636,4163,7453,4027
ENSG00000268173,NA,NA,NA,318.2179214370809,1.0830267676911722,0.280100584971786,3.8665637481630513,1.1037962088295334e-4,0.012121796025263056,393,278,330,225,542,140
ENSG00000070814,TCOF1,6949,treacle ribosome biogenesis factor 1,5278.063708133768,0.4098109765530901,0.10658459751584999,3.844936192512693,1.2058381142607797e-4,0.013103017740541083,6610,5027,4512,4417,6466,4770
ENSG00000105726,ATP13A1,57130,ATPase 13A1,745.3157865561654,0.5451269813299184,0.1425065821137393,3.825275810031247,1.306257605878062e-4,0.013851458026329781,969,605,696,650,908,639
ENSG00000117411,B4GALT2,8704,"beta-1,4-galactosyltransferase 2",1128.5622454985578,0.44642838186239203,0.11675487632762906,3.823638000434835,1.314969375743794e-4,0.013851458026329781,1414,1049,992,934,1391,1012
ENSG00000153283,CD96,10225,CD96 molecule,3406.9100689140405,-0.994023899383502,0.25966482480265546,-3.828103787792426,1.2913430440232755e-4,0.013851458026329781,1507,4536,2570,5263,2380,4357
ENSG00000054983,GALC,2581,galactosylceramidase,1238.828108842717,-0.4280093203747323,0.11234918707354896,-3.8096343331308455,1.3917247417498374e-4,0.014511893443518758,1017,1544,910,1512,1132,1393
ENSG00000125835,SNRPB,6628,small nuclear ribonucleoprotein polypeptides B and B1,8915.890208177914,0.32685080362327507,0.08617840252484381,3.792722933440886,1.4900437823567834e-4,0.015381721965269076,10395,9059,7816,7529,10680,8240
ENSG00000138678,GPAT3,84803,glycerol-3-phosphate acyltransferase 3,209.65212462141048,0.7860189042849013,0.208480744191035,3.7702230358725926,1.6310171965298477e-4,0.016670287643344175,243,151,217,160,312,170
ENSG00000128965,CHAC1,79094,ChaC glutathione specific gamma-glutamylcyclotransferase 1,662.639773069744,1.0627359426848264,0.28265899037487036,3.759781145738177,1.7006206451687856e-4,0.017211281294193505,1017,595,490,340,1160,422
ENSG00000143179,UCK2,7371,uridine-cytidine kinase 2,2657.349918426552,0.4648924412990985,0.12384985850652241,3.7536776134032923,1.7425895604792366e-4,0.017423431556992254,3499,2622,2320,2146,3172,2245
ENSG00000152061,RABGAP1L,9910,RAB GTPase activating protein 1 like,2314.535947324306,-0.3943258080628493,0.10510167703904352,-3.7518507712903935,1.7553394187030846e-4,0.017423431556992254,1911,2847,1798,2700,2063,2684
ENSG00000058600,POLR3E,55718,RNA polymerase III subunit E,1641.103549666143,0.4087580653671506,0.10919238481752781,3.743466781591309,1.8149860678428112e-4,0.017575029332591707,1981,1563,1416,1375,2069,1484
ENSG00000162739,SLAMF6,114836,SLAM family member 6,1820.0490476821742,-0.4640563034891233,0.12392809087195397,-3.744561061370658,1.8070942543312664e-4,0.017575029332591707,1368,2385,1391,2130,1656,2101
ENSG00000184634,MED12,9968,mediator complex subunit 12,2424.5961378201773,-0.9469702076586558,0.25302867630369713,-3.742541049070884,1.8216876281965637e-4,0.017575029332591707,1367,2471,1336,3172,2129,4283
ENSG00000122877,EGR2,1959,early growth response 2,828.2545198068991,0.5407833062088497,0.14484813358909393,3.7334502889967993,1.8887448558668976e-4,0.018015574699842413,1094,764,763,728,1001,623
ENSG00000154217,PITPNC1,26207,phosphatidylinositol transfer protein cytoplasmic 1,1276.2383316204796,-0.5640996137352893,0.15116604522125224,-3.7316555639836455,1.9022548118597532e-4,0.018015574699842413,972,1553,887,1386,1124,1827
ENSG00000116663,FBXO6,26270,F-box protein 6,888.0296507828721,0.646877723797126,0.17367870052973355,3.7245656596007377,1.9565178621794044e-4,0.01836103081025272,959,757,838,635,1372,779
ENSG00000139193,CD27,939,CD27 molecule,1703.2444374768875,-1.074615577536445,0.2895246388065319,-3.7116550148069845,2.0590850416825994e-4,0.019149490887648175,1310,3731,963,1855,885,1758
ENSG00000214706,IFRD2,7866,interferon related developmental regulator 2,1658.0764629903103,0.7086628257733012,0.19110653838646482,3.7082081636590014,2.087310384133624e-4,0.01923866526376018,2507,1525,1317,1136,2235,1299
ENSG00000109471,IL2,3558,interleukin 2,428.9947430237075,1.215034582691442,0.328455771802062,3.69923346460071,2.1625160947951537e-4,0.01958215232155296,584,259,303,226,909,324
ENSG00000115758,ODC1,4953,ornithine decarboxylase 1,1425.564988744849,0.532977450315027,0.1440147557508315,3.7008530656203242,2.1487587869962666e-4,0.01958215232155296,1974,1266,1342,1206,1579,1177
ENSG00000090238,YPEL3,83719,yippee like 3,1609.4858653060924,-0.9179360564854703,0.24841264839403002,-3.695206594430119,2.1970806606044937e-4,0.019722142312539295,804,1864,1170,2531,1206,2152
ENSG00000239672,NME1,4830,NME/NM23 nucleoside diphosphate kinase 1,3624.4620474387752,0.6480025515534278,0.17568694877531263,3.6883932248272076,2.256746936096824e-4,0.020083102259765097,5420,3608,3139,2634,4386,2652
ENSG00000168036,CTNNB1,1499,catenin beta 1,6388.937291403661,0.2872603105219639,0.07795719148432925,3.6848468377636228,2.2884021017369131e-4,0.020190747774555685,7296,6261,5788,5912,7297,5851
ENSG00000108561,C1QBP,708,complement C1q binding protein,6921.816398442039,0.49589634885263756,0.13474352238098541,3.6802982443230006,2.3296132018084896e-4,0.020208905111150453,9451,6903,6055,5504,8125,5645
ENSG00000172349,IL16,3603,interleukin 16,5479.806194899093,-0.586076843556875,0.15918668930241903,-3.6816950344602013,2.3168845085721684e-4,0.020208905111150453,3830,6706,4380,6927,4326,6926
ENSG00000185339,TCN2,6948,transcobalamin 2,494.769933617177,1.087306493255457,0.29578727964434093,3.6759744859983523,2.3694320441054856e-4,0.02038303915941744,949,404,393,246,644,349
ENSG00000115541,HSPE1,3336,heat shock protein family E (Hsp10) member 1,464.408752297663,0.59271030470478,0.1616596519740546,3.6664083923668627,2.459809805652398e-4,0.020985633573346867,627,446,456,344,537,374
ENSG00000185862,EVI2B,2124,ecotropic viral integration site 2B,2444.636622460913,-0.8928989193745726,0.24426044426059942,-3.655519918820528,2.566612779310269e-4,0.02171733091870484,1291,3111,1947,3697,1602,3103
ENSG00000166986,MARS1,4141,methionyl-tRNA synthetase 1,461.35775692738025,0.7480655706757113,0.20519103368837707,3.645703017471007,2.6666179607782103e-4,0.0221995945234786,512,466,492,293,675,328
ENSG00000214530,STARD10,10809,StAR related lipid transfer domain containing 10,1274.9596360366968,-0.4171130152161624,0.11435499302238707,-3.6475277921140266,2.647756791624867e-4,0.0221995945234786,1085,1757,936,1421,1141,1403
ENSG00000196923,PDLIM7,9260,PDZ and LIM domain 7,1284.2074191787158,0.3903853582261677,0.10796244279010841,3.615936691846834,2.99263513422098e-4,0.02471437799245054,1501,1236,1225,1174,1496,1072
ENSG00000166197,NOLC1,9221,nucleolar and coiled-body phosphoprotein 1,8555.328929065883,0.6449252174399823,0.1787329571056539,3.608317278937815,3.081894540088491e-4,0.025249521696296424,12568,8627,7062,5931,11008,6480
ENSG00000111752,PHC1,1911,polyhomeotic homolog 1,675.6385298153282,-0.5374922032622483,0.15003455353037573,-3.582456111707818,3.403788157529703e-4,0.027262367786196434,516,844,493,891,583,766
ENSG00000117228,GBP1,2633,guanylate binding protein 1,8527.402146816567,0.5144771202967681,0.14348355662792348,3.5856172817829717,3.362818297890231e-4,0.027262367786196434,10825,9121,7506,6358,10979,6657
ENSG00000196092,PAX5,5079,paired box 5,437.8096241829928,-0.801776440076353,0.2238208118007605,-3.582224698523896,0.00034068056228028093,0.027262367786196434,352,618,302,633,261,490
ENSG00000140105,WARS1,7453,tryptophanyl-tRNA synthetase 1,27195.482269779266,0.6257377552573324,0.17504741847772162,3.574675711867013,3.5066225171958356e-4,0.02776245167253177,39405,25139,21342,18948,36436,23139
ENSG00000197785,ATAD3A,55210,ATPase family AAA domain containing 3A,2303.3482446532416,0.6824379164673772,0.19097452541757068,3.573449992742274,3.523085507218504e-4,0.02776245167253177,3027,2144,1882,1441,3453,1983
ENSG00000134419,RPS15A,6210,ribosomal protein S15a,24519.919055354057,-0.35443787936285975,0.09948892685048077,-3.5625862152029732,3.672192512389073e-4,0.02871821462529727,20461,28793,19035,27475,22694,29846
ENSG00000128159,TUBGCP6,85378,tubulin gamma complex associated protein 6,359.6487514230881,-0.6393702383417585,0.1798636772216442,-3.554749064503274,3.783399867376327e-4,0.029365441226260013,251,432,243,467,321,469
