gene_id,gene_symbol,gene_entrez,gene_desc,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,D1_B7C2_Il8,D1_B7C2_no,D2_B7C2_Il8,D2_B7C2_no,D3_B7C2_Il8,D3_B7C2_no
ENSG00000005206,SPPL2B,56928,signal peptide peptidase like 2B,551.8266440515305,-0.005347451003743905,0.19143442215690762,-0.02793359179343886,0.9777151165133566,0.9999578066363455,448,574,689,627,536,463
ENSG00000005238,ATOSB,80256,atos homolog B,590.9180108793689,0.06728838843228883,0.1989217229102479,0.3382656627333199,0.7351629972952849,0.9999578066363455,535,649,793,638,511,459
ENSG00000005243,COPZ2,51226,COPI coat complex subunit zeta 2,66.73833895984137,0.036144011551474675,0.4706159962743324,0.07680149386678632,0.9387814623168649,0.9999578066363455,57,49,93,100,56,46
ENSG00000005249,PRKAR2B,5577,protein kinase cAMP-dependent type II regulatory subunit beta,11.452409747209607,-0.6577615770810756,0.7753355916928818,-0.8483572586225625,0.3962390383248968,0.9999578066363455,13,20,5,14,8,9
ENSG00000005302,MSL3,10943,MSL complex subunit 3,748.9038703088879,0.038308273358566104,0.21157914388178872,0.18105883526955427,0.8563213952053296,0.9999578066363455,577,895,946,811,785,541
ENSG00000005339,CREBBP,1387,CREB binding protein,3399.4637816211707,0.0018276479348002237,0.16656506874425678,0.01097257635456799,0.9912453264081816,0.9999578066363455,2585,3522,4516,3486,3281,3213
ENSG00000005379,TSPOAP1,9256,TSPO associated protein 1,53.87220056265023,-0.2802405915207916,0.6886020844062098,-0.40697029222972303,0.684029807580364,0.9999578066363455,76,36,19,90,45,47
ENSG00000005436,GCFC2,6936,GC-rich sequence DNA-binding factor 2,497.32026337216837,-0.04417616834164224,0.17703853899215027,-0.2495285410347911,0.8029519664084674,0.9999578066363455,489,614,501,395,478,526
ENSG00000005448,WDR54,84058,WD repeat domain 54,2404.6709325731067,-0.04300066248256246,0.16733306990673863,-0.25697647516135597,0.7971969334830811,0.9999578066363455,1983,2614,3087,2685,2140,2059
ENSG00000005469,CROT,54677,carnitine O-octanoyltransferase,230.5404540434769,0.15347990777096365,0.1686412209422593,0.9100972283847096,0.36277123612719575,0.9999578066363455,231,257,259,216,240,189
ENSG00000005483,KMT2E,55904,lysine methyltransferase 2E (inactive),7885.0796170774465,0.05317899663323814,0.16949534938215913,0.3137490015335825,0.7537116806794268,0.9999578066363455,6502,7829,10664,8435,7319,6984
ENSG00000005486,RHBDD2,57414,rhomboid domain containing 2,463.4043232801551,-0.06165615391332703,0.31932276090974093,-0.19308411883221385,0.8468930899604973,0.9999578066363455,277,386,555,435,550,584
ENSG00000005700,IBTK,25998,inhibitor of Bruton tyrosine kinase,1275.083112541002,-0.40767802766478434,0.1911961271441597,-2.132250447507233,0.03298626327953986,0.9999578066363455,1038,1675,1218,1675,1045,1055
ENSG00000005801,ZNF195,7748,zinc finger protein 195,251.87504932598233,-0.16804969127484767,0.26902982783053203,-0.6246507780568702,0.532200285129997,0.9999578066363455,229,251,194,266,282,280
ENSG00000005810,MYCBP2,23077,MYC binding protein 2,4060.2239623774785,-0.05531203182291867,0.17289276321874159,-0.3199210354046955,0.7490281912938066,0.9999578066363455,3011,4609,5453,4257,3714,3642
ENSG00000005812,FBXL3,26224,F-box and leucine rich repeat protein 3,318.7521625021198,-0.15828062674623303,0.14945195073799966,-1.0590736752825038,0.28956622771905444,0.9999578066363455,296,381,312,320,296,316
ENSG00000005844,ITGAL,3683,integrin subunit alpha L,10078.157710891095,-0.05600275872158008,0.17239278934804933,-0.32485557506998924,0.7452903807738958,0.9999578066363455,9236,11392,12827,11126,7949,8525
ENSG00000005882,PDK2,5164,pyruvate dehydrogenase kinase 2,448.9007984606865,-0.08854280351239453,0.2693408801283493,-0.328738821489709,0.742353108385567,0.9999578066363455,306,379,547,526,472,469
ENSG00000005884,ITGA3,3675,integrin subunit alpha 3,162.34291576215512,0.02574792640621424,0.33821059207031323,0.07612986408439067,0.9393157809745903,0.9999578066363455,159,257,139,115,190,128
ENSG00000005889,ZFX,7543,zinc finger protein X-linked,1273.6564301093856,0.035915207501759396,0.09885511963228988,0.36331155771550055,0.716372160564698,0.9999578066363455,1138,1429,1436,1141,1315,1237
ENSG00000005893,LAMP2,3920,lysosomal associated membrane protein 2,4318.166299554633,0.0111032659654731,0.11002721051121353,0.10091381862617975,0.919618873430806,0.9999578066363455,3608,4642,5214,4263,4316,4070
ENSG00000006007,GDE1,51573,glycerophosphodiester phosphodiesterase 1,4407.6707263534245,-0.02835479743669522,0.22946780861075058,-0.12356764815231165,0.9016576091567461,0.9999578066363455,3145,4032,6064,5186,4159,4065
ENSG00000006015,REX1BD,55049,required for excision 1-B domain containing,496.86828514633214,-0.13499480126969216,0.13846601516050225,-0.9749309324256464,0.32959452121757854,0.9999578066363455,431,621,487,470,505,488
ENSG00000006025,OSBPL7,114881,oxysterol binding protein like 7,221.17929350144698,-0.1619634951846983,0.19777282250704717,-0.818937066941678,0.4128223203448927,0.9999578066363455,192,287,262,229,179,195
ENSG00000006042,TMEM98,26022,transmembrane protein 98,63.96726743205888,0.14941459236347482,0.41332201890350545,0.3614968124849823,0.717728087384645,0.9999578066363455,44,59,85,43,76,80
ENSG00000006062,MAP3K14,9020,mitogen-activated protein kinase kinase kinase 14,2598.7656967028706,-0.09185646506210736,0.1413669011818542,-0.6497734921977482,0.5158385439004874,0.9999578066363455,2243,2766,3144,2833,2244,2466
ENSG00000006118,TMEM132A,54972,transmembrane protein 132A,189.15385279085783,-0.023620172851053008,0.4109260523170761,-0.05748034887996677,0.9541625595458714,0.9999578066363455,208,267,122,107,222,212
ENSG00000006125,AP2B1,163,adaptor related protein complex 2 subunit beta 1,12214.490014906232,0.03123707521746689,0.09841209398988505,0.3174109395607158,0.7509318074986572,0.9999578066363455,10846,13724,15123,11877,11453,10967
ENSG00000006194,ZNF263,10127,zinc finger protein 263,1036.2644478472978,-0.09661856113169791,0.1179111354411614,-0.8194184609468996,0.4125477057580704,0.9999578066363455,918,1263,1029,971,1061,1015
ENSG00000006282,SPATA20,64847,spermatogenesis associated 20,206.6550435932061,-1.5694897231385805,0.530517940642227,-2.958410268347588,0.0030923025653873176,0.9999578066363455,42,298,137,154,141,474
ENSG00000006327,TNFRSF12A,51330,TNF receptor superfamily member 12A,221.99827359675012,0.14634927975644504,0.20988004168930796,0.6972996506885133,0.48561528663057346,0.9999578066363455,239,225,226,183,232,227
ENSG00000006432,MAP3K9,4293,mitogen-activated protein kinase kinase kinase 9,594.9767243034396,-0.2717266831131258,0.16461587231431468,-1.65067122199672,0.09880572713846873,0.9999578066363455,421,697,687,661,532,605
ENSG00000006451,RALA,5898,RAS like proto-oncogene A,2619.7434965066054,-0.018403562878366468,0.09680804771417596,-0.19010364647268438,0.849227912716482,0.9999578066363455,2360,2950,2841,2362,2638,2659
ENSG00000006453,BAIAP2L1,55971,BAR/IMD domain containing adaptor protein 2 like 1,110.66494130153876,0.07952339336088593,0.37587019602470734,0.21157142599212245,0.8324414034258698,0.9999578066363455,76,101,124,80,144,141
ENSG00000006459,KDM7A,80853,lysine demethylase 7A,1648.5152656717096,0.12015068770523261,0.28201788261911714,0.42603925179987134,0.6700792444974752,0.9999578066363455,1084,1256,2346,1737,1834,1690
ENSG00000006530,AGK,55750,acylglycerol kinase,2690.9963561328977,0.07417271971045868,0.10811864937029142,0.6860307647427908,0.49269370847523575,0.9999578066363455,2678,3214,2890,2290,2718,2473
ENSG00000006555,TTC22,55001,tetratricopeptide repeat domain 22,192.16368234548594,-0.16520684265462068,0.20713192921039483,-0.7975923522964505,0.4251070905032313,0.9999578066363455,143,240,239,186,170,191
ENSG00000006576,PHTF2,57157,putative homeodomain transcription factor 2,431.3913032799443,-0.09694642564042878,0.24597106685050965,-0.3941375173989408,0.6934795133286653,0.9999578066363455,296,497,480,511,488,340
ENSG00000006607,FARP2,9855,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",888.5756607727553,-0.024667887635610564,0.1815621125147897,-0.13586473132494073,0.8919282172110812,0.9999578066363455,917,1202,844,739,870,804
ENSG00000006625,GGCT,79017,gamma-glutamylcyclotransferase,1642.3079924848835,-0.08147270197805033,0.13732374504488645,-0.5932892519893022,0.5529875904991071,0.9999578066363455,1390,1676,1795,1622,1631,1769
ENSG00000006634,DBF4,10926,DBF4 zinc finger,2425.8876052967294,0.028461499435691134,0.0888474533543462,0.3203411956241385,0.7487096975638698,0.9999578066363455,2373,2801,2662,2290,2332,2191
ENSG00000006638,TBXA2R,6915,thromboxane A2 receptor,14.358671361312723,-0.43283947024892977,0.6136510286283224,-0.7053511687521231,0.4805917245362063,0.9999578066363455,11,19,15,11,11,20
ENSG00000006652,IFRD1,3475,interferon related developmental regulator 1,1048.36684748397,0.00508191779968517,0.19193903483060776,0.02647672894765842,0.9788770947008328,0.9999578066363455,1009,1168,969,842,1158,1153
ENSG00000006695,COX10,1352,cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,1432.1117532345459,-0.04067517650037619,0.14471886557228747,-0.28106340068053415,0.7786617721070299,0.9999578066363455,1186,1446,1677,1530,1412,1383
ENSG00000006704,GTF2IRD1,9569,GTF2I repeat domain containing 1,272.05883435402905,0.16521140730968506,0.27267302558855927,0.6058956765271503,0.5445840306085077,0.9999578066363455,192,238,343,242,339,287
ENSG00000006712,PAF1,54623,"PAF1 homolog, Paf1/RNA polymerase II complex component",3804.548840697359,-0.11993949083542771,0.07848655381039932,-1.528153358920136,0.12647446590213218,0.9999578066363455,3346,4472,4183,3639,3476,3877
ENSG00000006715,VPS41,27072,VPS41 subunit of HOPS complex,1826.065236389404,-0.09777046581710903,0.09540741528536174,-1.0247679965407244,0.30547267045148935,0.9999578066363455,1681,2201,2026,1713,1614,1810
ENSG00000006740,ARHGAP44,9912,Rho GTPase activating protein 44,12.354476380519207,-0.7132002281363172,0.6915448094448834,-1.0313145560427488,0.30239333453932093,0.9999578066363455,7,15,8,19,13,12
ENSG00000006744,ELAC2,60528,elaC ribonuclease Z 2,3734.175216605551,-0.034065647045156744,0.15181377178310196,-0.22439101963573316,0.8224530578359421,0.9999578066363455,3718,4831,3592,3081,3722,3621
ENSG00000006756,ARSD,414,arylsulfatase D,246.67418946073548,-0.048341504026096695,0.7428316235329235,-0.06507733717121983,0.9481124244928099,0.9999578066363455,88,109,554,489,135,129
ENSG00000006757,PNPLA4,8228,patatin like phospholipase domain containing 4,340.1122423210952,-0.011871873422648612,0.16110379398435923,-0.0736908370004073,0.9412563899803059,0.9999578066363455,309,350,366,355,344,322
ENSG00000006831,ADIPOR2,79602,adiponectin receptor 2,3097.418192798704,-0.07400072660225598,0.13734742642014347,-0.5387849523724529,0.5900352477716004,0.9999578066363455,3081,3912,3380,3090,2617,2668
ENSG00000006837,CDKL3,51265,cyclin dependent kinase like 3,42.56983883661672,-0.08631486864969269,0.42171958150942185,-0.20467360880126523,0.8378271410135417,0.9999578066363455,31,40,40,40,53,51
ENSG00000007038,PRSS21,10942,serine protease 21,116.7460777220599,0.11224536200550313,0.5429233249413044,0.2067425672264827,0.8362109116672716,0.9999578066363455,94,123,215,165,68,51
ENSG00000007047,MARK4,57787,microtubule affinity regulating kinase 4,1567.2885733817814,-0.03611401833382155,0.15731123968479302,-0.22957048972586938,0.8184255402299825,0.9999578066363455,1198,1624,1922,1630,1584,1517
ENSG00000007080,CCDC124,115098,coiled-coil domain containing 124,3259.5226411027056,-0.028493216652863952,0.15489644889590362,-0.18395009605425164,0.8540526043304877,0.9999578066363455,3328,4004,3055,2736,3249,3270
ENSG00000007129,CEACAM21,90273,CEA cell adhesion molecule 21,193.9533692328982,-0.08610342994129039,0.18138254809571572,-0.474706253965809,0.6349963597064615,0.9999578066363455,158,235,209,186,201,185
ENSG00000007168,PAFAH1B1,5048,platelet activating factor acetylhydrolase 1b regulatory subunit 1,2015.9605926221411,0.043169564948295644,0.10746559160741619,0.4017059256138364,0.6879004630539531,0.9999578066363455,1972,2310,2095,1784,2070,1925
ENSG00000007202,BLTP2,9703,bridge-like lipid transfer protein family member 2,9847.463372270498,0.012497112945788862,0.12509584661286535,0.09990030272119049,0.920423476017965,0.9999578066363455,9853,12635,10460,8343,9370,8971
ENSG00000007255,TRAPPC6A,79090,trafficking protein particle complex subunit 6A,923.6573352664554,-0.0707083818956733,0.19990405277721776,-0.35371159770569516,0.7235550300866573,0.9999578066363455,698,956,1208,1061,844,826
ENSG00000007264,MATK,4145,megakaryocyte-associated tyrosine kinase,28.60690032988753,-0.3340319151188646,0.9562195255993233,-0.3493255535746414,0.7268449163773396,0.9999578066363455,15,71,60,22,6,10
ENSG00000007312,CD79B,974,CD79b molecule,432.45838559478966,-0.14409241321176539,0.19432199337344916,-0.7415136635349748,0.4583820502843533,0.9999578066363455,306,456,510,453,433,455
